,VIDEO DATA,,,,,,,,,,,ADMIN PANEL,,,NEWS CHARACTERISTICS,,RHETORIC and NARRATIVE,,VISUALS,,,SIDE NOTES,CREATORS,OPTIONAL,NOTES
EVENT,create_time,like_count,share_count,username,video_description,view_count,comment_count,hashtag_names,voice_to_text,spread_guess,URL,Is this video available to be viewed?,Related to event of interest?,Collective Agreement to Code,News Type,Primary contemporary news value,Rhetorical Mode,Content Focus,Visual Source Material,Visual Structure,Function of Text Overlays,Does the video contain any non-news digressions or asides?,Creator Persona,Does it appear that the creator is engaged in authentic sensemaking and/or citizen journalist activities?,Use this space to make notes
maui,8/15/2023 17:13:00,12,0,mysticdripz,"how could you write, publish and sell a book about the #mauifire in less than a week🤔 #comelookatthis #somethingiswrong #fypシ #foryoupage",8,3,"['somethingiswrong', 'comelookatthis', 'foryoupage', 'fypシ', 'mauifire']",,,https://tiktok.com/@mysticdripz/video/7267598293687979310,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,unusualness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Broader Implications,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/15/2023 17:59:00,21,0,icymm820,WTAF? 😶 Will the real Dr. Miles Stones please stand up? #whatdayisit #ai #amazon #bibliography #releasedate #lahaina #maui #fire,21,1,"['fire', 'amazon', 'maui', 'whatdayisit', 'ai', 'lahaina', 'releasedate', 'bibliography']",,,https://tiktok.com/@icymm820/video/7267610171600342318,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,unusualness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Broader Implications,,,"topic text: sets some brief context, usually only a few words",YES,,,
maui,8/15/2023 19:17:00,78,0,palanakonumokana,Haole fakkas. Hawai'i needs to immediately cease tourism. Hawai'i is in a state of emergency. Don't go. #maui #hawaii  #haole #tourism  #goaway #fire #emergency #disaster,12,4,"['fire', 'hawaii', 'goaway', 'emergency', 'maui', 'disaster', 'haole', 'tourism']",,,https://tiktok.com/@palanakonumokana/video/7267630361125965102,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/17/2023 3:41:00,124,0,merkabaflame,#wildfire #hawaii #canaryisland #maui #tenerife #dew #directenergyweapons #fyp #fire #conspiracy,5,50,"['fire', 'hawaii', 'tenerife', 'wildfire', 'maui', 'conspiracy', 'dew', 'fyp', 'canaryisland', 'directenergyweapons']","So it would appear that we have another island on fire. Yes, the mere coincidence island on fire in the Canary Islands in Spain. It has burnt over 5000 acres in the last 24 hours. The local law enforcement and emergency personnel saying they are just on the defensive now. They stopped hikers from hiking the mountain yesterday because of the extreme heat and the likelihood of fire. They have had to evacuate 5 cities. I know if there's something sus about it, we'll hear about it, just like we did with Maui. But, man, coincidence? I mean, we're surely having a lot of fires here lately, right? I mean, you would think that. That they would know we was catching on and that they should come up with another plan. Oh, that's right. Climate change. Yes. Oh, okay.",,https://tiktok.com/@merkabaflame/video/7268131127884352811,NO - Do not code further,,TOSS,,,,,,,,,,,
maui,8/15/2023 20:59:00,2324,22,geoffcygnus,Napili Park - Maui Police issue permission slips to residents which supposedly allow them to freely come and go to other parts of the island and return home #WestMauifires #policestate #Mauifires #Hawaii #Maui #frontstreet #LahainaTown #Lahainafire #Hawaiifire #deadlyfires #Hawaiihurricane #FEMA #nationalguard #stateofemergency #martiallaw #catastrophicfires #devastation #WestMaui #Lahaina #kaanapali #geoffcygnus #kapalua #RedCross #Hawaiifires #Mauiwildfires #wildfire #napili #808 #Armageddon #evacuation #burned #nofuel #trapped #stuck #honokowai #gateway #medicaltrailer #napiliPark,10987,387,"['hawaii', 'stuck', 'trapped', 'fema', 'armageddon', 'wildfire', 'maui', 'burned', 'gateway', '808', 'nationalguard', 'stateofemergency', 'lahaina', 'policestate', 'redcross', 'lahainatown', 'evacuation', 'kaanapali', 'devastation', 'frontstreet', 'westmaui', 'napili', 'martiallaw', 'kapalua', 'nofuel', 'honokowai', 'hawaiifire', 'catastrophicfires', 'deadlyfires', 'mauifires', 'hawaiihurricane', 'napilipark', 'lahainafire', 'medicaltrailer', 'geoffcygnus', 'hawaiifires', 'mauiwildfires', 'westmauifires']","Shooting residents the Orange Park we ask you to defeat. Fill it out with your first name, last name and your address. Do not sign on the signature area. That is only for your MPD. This is Nepeli Park about 10 am. And there are about 5 people at a desk that are supposed to serve half of the city. There is another park somewhere. But I don't understand how anybody could have thought this would be sufficient. It really doesn't look to me like all these people are going to be served. I mean, the government must know how many people live here. I don't understand this at all.",,https://tiktok.com/@geoffcygnus/video/7267656507926285614,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,unusualness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,closed captioning: closely follows audio narration's words,NO,,,
maui,8/15/2023 23:23:00,21,0,affiliatedthebrand,Message me if you need more info. #maui #lahaina #disaster #fire #donate #hawaii,4,2,"['fire', 'hawaii', 'maui', 'disaster', 'donate', 'lahaina']",,,https://tiktok.com/@affiliatedthebrand/video/7267693680209710379,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,usefulness,N/A or Other,Response,,,"topic text: sets some brief context, usually only a few words",YES,,,
maui,8/16/2023 2:38:00,9,0,aapoliu2,Let’s Pray for the hawaiifires🙏##lahainafire #lahaina #prayformaui #fypシ #hawaiifire #foryou #lahainahawaii #lahainamaui #frontstreet #fire #news #viral #mauifire #hawaii #maui #rescue#foryou #foryoupage #God #Jesus #jesuslovesyou #iloveyou #jesusssloverr,1,1,"['iloveyou', 'god', 'fire', 'hawaii', 'jesus', 'viral', 'foryou', 'news', 'maui', 'rescue', 'jesuslovesyou', 'lahaina', 'frontstreet', 'lahainamaui', 'prayformaui', 'foryoupage', 'hawaiifire', 'lahainahawaii', 'fypシ', 'mauifire', 'lahainafire', 'jesusssloverr']",please wait pray for Hawaii may they get out of trouble soon please share with others pass this blessing may the Lord be with you,,https://tiktok.com/@aapoliu2/video/7267743798699035947,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Physical Impact,,,multiple: more than one of the above functions,Maybe,,,
maui,8/16/2023 20:29:00,18,0,danielcollins41313_,#maui#lahina#newsmax#fyp#viral#fire#hawaii,0,8,"['fire', 'hawaii', 'viral', 'maui', 'fyp', 'lahina', 'newsmax']",,,https://tiktok.com/@danielcollins41313_/video/7268019998809967915,YES - Continue coding,YES - Continue coding,KEEP,News Analysis - Provides context for people to understand the news,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Human/Human-Health Impact,,,multiple: more than one of the above functions,YES,,,
maui,8/16/2023 22:31:00,129,9,phuqaround.n.findout017,#duet with @Geoff Cygnus #powersthatbe #fypシ゚viral #viralvideo #fyp #fypシ #trending #maui #lahaina #fire #tragedy #prayforthem,5553,15,"['fire', 'trending', 'duet', 'viralvideo', 'maui', 'tragedy', 'fyp', 'prayforthem', 'lahaina', 'powersthatbe', 'fypシ', 'fypシ゚viral']","I wanna show you guys what this fire actually did. And to do that, I've come back to the place where I filmed the most viewed video that I posted so far of the line of fire. Now, the original video was posted driving down the street because that's how I had to do it at the time. But now I've gotten out of the car, I'm gonna walk and show you a little bit more slowly. Now. This is just north of Safeway on the main highway, just south of where Front Street meets the main highway. And as you can see, this entire neighborhood was totally leveled, totally incinerated. Everything is just ashes and rubble. But the fire did an interesting thing after this. It went across this large wide section by the train track that's just dirt here. And then it went over a concrete wall that I will show you in a second here. And it went across a 4 lane highway with emergency lanes. And then it burned everything across the street all the way to the ocean.",duet,https://tiktok.com/@phuqaround.n.findout017/video/7268051312783281450,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,"topic text: sets some brief context, usually only a few words",Maybe,,,
maui,8/16/2023 23:28:00,74,0,helpfrommaui,#maui #fyp #boost #fire ##rip,40,5,"['rip', 'fire', 'boost', 'maui', 'fyp']","Who's on your necklace? Her. His mom's right here. She alive? Yeah, she alive in me. That's why.",,https://tiktok.com/@helpfrommaui/video/7268066171512032554,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,human interest,N/A or Other,Human/Human-Health Impact,,,"topic text: sets some brief context, usually only a few words",YES,,,
maui,8/17/2023 3:57:00,15,0,in_herown_littleworld,#duet with @🌺SMILE🌺  #hawaii  #lahaina  #foryou #maui  #fire #2023 #howtohelp #supportisfree💙💙💙💙 #ceonfirstlady #fypシ゚viral  #trapnativebrand #trapnativethebrand  #ladytrapnative  #trapnativegang #challengeaccepted #senatorcartersupports💙💙💙💙  #loveur360💜  #mylady79       #eachonereachone💙💙💙💙    #shaeytastic💚💨 #shaeyenforcer💙💙💙💙  #WeLaffinNotCryinAlso #LFLY💚💚  #ariesvibes♈️💜   #mayor💙💙💙💙 #islandlady🤟🏽💫💙💙💙💙💫🤟🏽 #mrwinker #mrmemphis #jenfromtheblock🥰💜💙  #sharethelove💙🌺💫🤟🏽,6,11,"['fire', 'hawaii', 'duet', 'foryou', 'maui', 'challengeaccepted', 'lahaina', '2023', 'howtohelp', 'fypシ゚viral', 'mrmemphis', 'mrwinker', 'trapnativethebrand', 'trapnativegang', 'trapnativebrand', 'supportisfree💙💙💙💙', 'ceonfirstlady', 'loveur360💜', 'mylady79', 'ladytrapnative', 'senatorcartersupports💙💙💙💙', 'shaeytastic💚💨', 'eachonereachone💙💙💙💙', 'ariesvibes♈️💜', 'shaeyenforcer💙💙💙💙', 'welaffinnotcryinalso', 'mayor💙💙💙💙', 'lfly💚💚', 'islandlady🤟🏽💫💙💙💙💙💫🤟🏽', 'jenfromtheblock🥰💜💙', 'sharethelove💙🌺💫🤟🏽']",,duet,https://tiktok.com/@in_herown_littleworld/video/7268135319281716523,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
maui,8/17/2023 4:30:00,149,0,ifwedontdoanything,"if you think these things were coincidental, you’re choosing ignorance.  This is an act of war. We the people have to stand together, our strength is in numbers. These people need to pay for their crimes against humanity. If we dont do anything, it will only get worse.  #ifwedontdoanything #maui #lahaina #hawaii #riseagainstthemachine #corruption #conspiracytiktok #biden #trump #america #china #government #nike #oprah #fire #naturaldisaster #news #media #fox #cnn #baby #children #protest #wheresthelove #fyp #xyzbca #girls #boys #kids #mens #womens #california #arizona #texas #help #prayformaui #ukraine #hunterbiden #eattherich #marketing #fitness #cars #family #disney #halloween #christmas #muslum #christian #jewish #catholic #historytok",10,15,"['christmas', 'family', 'halloween', 'kids', 'california', 'baby', 'china', 'girls', 'boys', 'fire', 'cars', 'disney', 'fitness', 'help', 'nike', 'america', 'hawaii', 'texas', 'children', 'fox', 'protest', 'arizona', 'trump', 'christian', 'news', 'maui', 'oprah', 'catholic', 'media', 'fyp', 'womens', 'cnn', 'wheresthelove', 'government', 'naturaldisaster', 'biden', 'ukraine', 'lahaina', 'jewish', 'corruption', 'mens', 'marketing', 'eattherich', 'riseagainstthemachine', 'prayformaui', 'muslum', 'hunterbiden', 'historytok', 'xyzbca', 'conspiracytiktok', 'ifwedontdoanything']",,,https://tiktok.com/@ifwedontdoanything/video/7268143726059474218,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,conflict and controversy,"Narration: Telling a story or sequence of events, in chronological order",Broader Implications,,,descriptive text: sets more detailed context; as long as a paragraph,YES,,,
maui,8/17/2023 16:05:00,6,0,piratespillage,#stitch with @Kristina Mekdeci #maui #mauifires #lahaina #donate #helpmaui #helplahaina #helphawaii #hawaiifires #mauihawaii #mauifirevictims #lahainastrong #mauiwildfire #hawaii #mauiartist Help support Maui artists who's lives are affected by recent wildfires,5,0,"['stitch', 'hawaii', 'maui', 'donate', 'mauihawaii', 'lahaina', 'lahainastrong', 'helphawaii', 'helpmaui', 'mauiartist', 'mauifires', 'mauiwildfire', 'hawaiifires', 'helplahaina', 'mauifirevictims']",,stitch,https://tiktok.com/@piratespillage/video/7268323025366420779,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
maui,8/17/2023 19:35:00,87,0,momentospepisonoficial,Herman Andaya Administrator at Maui Emergency Management Agency has no regrets for not sounding the sirens #CapCut #hermanandaya #occupation #hawaii #maui #makawao #lahainafire #lahaina #mauistrong #wakeup #ohana #lahainastrong #peoplenotpolitics #hawaiians #wildfire #manmade #corruptgovernment #hi #westmaui #falseflags #banderasfalsas #curruption #standup #wethepeople #mauirescue #powersthatbe #martiallaw #policestate #stateofemergency #voicesfromthesky #westmauiexperiment #experiment #developerscorruption #housingcorruption #realstatecorruption #housing #808,83,31,"['hi', 'hawaii', 'wakeup', 'standup', 'experiment', 'wildfire', 'maui', 'ohana', '808', 'makawao', 'hawaiians', 'stateofemergency', 'occupation', 'lahaina', 'policestate', 'housing', 'manmade', 'wethepeople', 'corruptgovernment', 'westmaui', 'martiallaw', 'powersthatbe', 'curruption', 'lahainastrong', 'falseflags', 'capcut', 'peoplenotpolitics', 'mauistrong', 'mauirescue', 'housingcorruption', 'lahainafire', 'banderasfalsas', 'voicesfromthesky', 'westmauiexperiment', 'hermanandaya', 'realstatecorruption', 'developerscorruption']","Sirens which could have saved many lives. Now, there are questions about your lack of experience, that you only took online courses for disaster relief. No, in the field experience. Do you get your decision? And have you considered handing over the rains to somebody with more experience? So the new story talks about how I didn't have experience before taking on a job, and that's not true. Um, before taking on job, I was a member of the cabinet. Uh, I was deputy director of department of Housing Human Concerns, as well as the mayor's chief of staff for 11 years. And so during that time, I was reported. I often times report to the emergency operations centers, and I, I've done this on numerous, numerous occasions. Also, during that time, we went through numerous trainings as well. And so, um, to say that I am not, not qualified, I think, is incorrect. Do you regret not sounding the sirens? I, I do not. And the reason why. And so many people said they could have been saved if they had time to escape. Had a Siren gone off, they would have known that there was a crisis emerging. And as we know, so many bodies were found in the ground as the flames caught their heels. I do, but I wanna, I wanna get it out there. Let him finish. I'm sorry. There's a lot of people who want answered. Hold on. The sirens. As I mentioned earlier, Is used primarily for tsunamis, and that's the reason why many of them are found. Almost all of them are found on the coastline. The public is trained to seek higher ground in the event that the Siren is sounded. In fact, on the website of the Hawaii Emergency Management Agency, the firing guideline is provided. If you are in a low lying area near the coastline, evacuate to high grounds inland, or vertically to the fort floor and higher of a concrete building. Alerts may also come in the form of a Wireless Emergency Alert. Have you sounded the Siren that night? Were afraid that people would have gone, Malka and if that was the case, then they would have gone into the fire. And so that is the reason why our protocol has been to use WBA and EAS. By the way, I should also note that there are no sirens. Malka or on the mountainside where the fire was spreading down. So even if we sounded the Siren, it would not have saved those people on the mountainside. Malka",,https://tiktok.com/@momentospepisonoficial/video/7268377160971341086,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,human interest,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,multiple: more than one of the above functions,YES,,,
maui,8/17/2023 20:31:00,70,0,hawaiiwildfireupdate,"In the devastated neighborhoods of Lahaina, Hawaii, block after block of homes have burned to their foundations. this’s one of the deadliest natural disasters in Hawaii’s history. #prayformaui #hawaiifires #mauifire2023 #mauifires #lahainafire #lahaina #prayformaui #fypシ #hawaiifire #foryou #lahainahawaii #lahainamaui #frontstreet #fire #news #viral #mauifire #hawaii #maui #rescue",88,2,"['fire', 'hawaii', 'viral', 'foryou', 'news', 'maui', 'rescue', 'lahaina', 'frontstreet', 'lahainamaui', 'prayformaui', 'hawaiifire', 'lahainahawaii', 'fypシ', 'mauifire', 'mauifires', 'lahainafire', 'mauifire2023', 'hawaiifires']",,,https://tiktok.com/@hawaiiwildfireupdate/video/7268391449559829790,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/19/2023 1:19:00,45,0,jw_cricbuzz,## #cop #cops #law #police #laws #badge #gun #sean #Quaran #wwe #when #what #where #why #if #how probable #cause #suspicious #enjoy #earth #air #water #fire #europe #russia #riana #nazi #military #trend #tiktok #trending #youtube #you #youtubeshorts #usa #interested #india #indonisia #ocean #travel #philippines #pewdiepie #popular #prank #mom #dad #most #Australia #asia #asmr #ai #africa #affair #short #death #facebook #family #fun #follow #girlfriend #google #guys #have #joke #japan #jewish #christian #china #catholic #religion #relax #dilly #dally #dillydally #dillydally208 #hot #rights #jw_amazing_trends #jw_cricbuzz #like #laugh #love #part2 #zodiac #heart #china #malaysia #energy #maui #viral #video #best #news #meta,26,22,"['fun', 'asia', 'death', 'europe', 'air', 'love', 'family', 'best', 'like', 'have', 'what', 'water', 'enjoy', 'if', 'you', 'popular', 'china', 'ocean', 'mom', 'part2', 'how', 'follow', 'laugh', 'fire', 'hot', 'military', 'heart', 'why', 'travel', 'youtube', 'prank', 'dad', 'usa', 'sean', 'police', 'energy', 'malaysia', 'japan', 'video', 'facebook', 'where', 'when', 'google', 'guys', 'cops', 'joke', 'india', 'russia', 'wwe', 'short', 'africa', 'earth', 'trending', 'relax', 'viral', 'gun', 'girlfriend', 'tiktok', 'cause', 'zodiac', 'pewdiepie', 'trend', 'christian', 'cop', 'news', 'suspicious', 'rights', 'australia', 'philippines', 'nazi', 'maui', 'most', 'religion', 'ai', 'law', 'catholic', 'affair', 'meta', 'interested', 'jewish', 'badge', 'riana', 'dally', 'dilly', 'asmr', 'laws', 'youtubeshorts', 'dillydally', 'indonisia', 'quaran', 'jw_amazing_trends', 'dillydally208', 'jw_cricbuzz']","Hey there, JW, JW again. Guys, the other day I put up a video, do we have to give cops our ID? And because of that, you know what? I got a few people who just didn't like what I had to say. One person? Well, not one, but several people were all upset because they thought it was taking personal intact on their husbands because husbands were cops. Other people saying things. Well, if it's probable cause, why have something right here now, specifically straight out of a cop's mouth? I want you to take a look at that and I'm gonna come right back to you. But here we go. Straight out of cops mouth. Here it is. Detention works, right? We don't have to cause at this point. The reason we detain people is to investigate something to see whether or not a crime has been committed. So when we detain somebody, at that point, we do not know whether or not crime has been committed or not yet. So when we detain somebody, at that point, we do not know whether or not crime has been committed or not yet. Okay. It's during the detention, we do our investigation to identify that person and find out why they're doing what they're doing. And if no crime has been committed, there's no probable cause, and that person is free. And you heard it from her specifically, just as you can read it for yourself in the law. No, they have no reason to hold you. They don't know if any. Anything's been broken, okay? They're searching for something, anything, because they don't have it. That's the truth. So stand there and be quiet. Say nothing. And you do not have to give up your ID until or unless you're arrested. Okay? Guys like follow and. Hey, JW, peace out.",,https://tiktok.com/@jw_cricbuzz/video/7268836766126263595,NO - Do not code further,,TOSS,,,,,,,,,,,
maui,8/18/2023 0:38:00,36,0,b_2_s_,Aloha! #maui #mauifire #mauihawaii #mauiwildfire #mauiwildfires #foryou #foryoupage,0,1,"['foryou', 'maui', 'mauihawaii', 'foryoupage', 'mauifire', 'mauiwildfire', 'mauiwildfires']",,,https://tiktok.com/@b_2_s_/video/7268455087452835115,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,impact and prominence,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",Maybe,,,
maui,8/18/2023 1:30:00,44,0,notyourtypicalpolitician,"My thoughts on this tragic situation in Maui... My heart goes out to everyone there, and this isnt a video for  views but to raise awareness on this tragic evnt and there's some serious questions that need to be answered.... What do you think? #maui #mauihawaii #mauistrong #mauilife #Fire #Coverup #ReviveAmerica #Revive #PeopleOverParty #PeopleOverPolitics #tattooedpolitician #TheBrunswickBatman #TheGrandNewParty #WeThePeople #Wakeup",5,3,"['fire', 'wakeup', 'revive', 'maui', 'coverup', 'mauilife', 'mauihawaii', 'wethepeople', 'peopleoverparty', 'peopleoverpolitics', 'mauistrong', 'reviveamerica', 'thegrandnewparty', 'tattooedpolitician', 'thebrunswickbatman']","What's up, guys? I'm about to go live on Revive America, but I just had something that could not wait till the end of this show. Now, as you probably have heard about the devastating fire that took place last week in Maui. But what you probably didn't hear about was all of the really weird stuff that's been going on surrounding this issue. So I'm gonna break it down for you for those of you that aren't paying attention. First and foremost, I find it extremely disturbing that the president has not taken a break from his vacation to go out there and send his condolences to the people of Maui or show his face. But he did go out of his way to insult the people by offering them a whopping $700 per household. Per household. Remember, we got a 1200 dollars stimmy under Trump just for sitting at home being inconvenience during the pandemic. $700 per house. And these people lost everything. But that's not even the worst part. There's reports coming out that state officials actually turned off the water while people were trying to put out the fires to save their homes and families. And over the past couple of months, there's been a lot of real estate investors and redevelopment people coming to try to buy this island. But let's just add another thing to the top. They wrote a book about fire and fury in Maui. And let's throw a cherry on top. Remember this guy, the chief of police in Maui? Yeah. He was also in charge of the Las Vegas shooting in 2017. But we just approved 40 billion dollars more to Ukraine, while the people of Maui are left without answers, opportunities, their lands being poached. The president's lacking any sort of response. I tried not to go down the rabbit hole on this, but if you pay attention to what's really going on, I think something nefarious is happening here. What do you think? Let me know in the comments.",,https://tiktok.com/@notyourtypicalpolitician/video/7268468661495549226,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,conflict and controversy,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Response,,,N/A - no text overlay,YES,,,
maui,8/18/2023 7:55:00,531,0,bestlifethrift,#duet with @Amanda #Duet #mauiwildfire #lahainahawaii #corruptmauipolice #massmurderbypoliceandfire,171,97,"['duet', 'lahainahawaii', 'mauiwildfire', 'massmurderbypoliceandfire', 'corruptmauipolice']","Up. But none of them were moving. And I walked all the way from Safeway to the Chart House. Not one card moved. And I was wondering what was stopping the traffic where it was a policeman. And I got to the end and I looked up north. There were no obstructions. There was no reason to keep those cars. Are you serious? I'm serious as a heart attack. And I. I said, what are you doing? He goes, well, I'm under orders to keep them here. And I said, the fire is. Is right around Safeway. It's gonna hit Front Street, and these people gotta get out of here. And he said, I'm following order, no way. And I. So I just kept walking. Maybe he knows something I don't, you know? So. And I keep walking down the highway, and I look behind. No cars are coming out. I walked all the way to Waikanau Beach, still no cars coming out. And I started hearing, boom, boom, boom. And then I heard people screaming and stuff. You're saying they were blockaded in by the police at the end of Front Street? Yeah. Like where that restaurant is. Where the Chart House. Where the Chart House was. I should say there. There was a blockade there, and they could not go any. But I walked the hell. I walked all the way from Safeway to there. Not one car had moved. And people walking in front of the. The People in the cars are saying, would you like a ride? And they go, oh, okay. And they get in, they asked, now, no, you better get out of here. You know it. And. But they just. Well, we were told to evacuate by car, okay? So I just kept walking, and I got all the way to, uh, like I said, the city center, and then I started hearing all the explosions, and there was no one walking behind me or on bicycles or anything, and.",duet,https://tiktok.com/@bestlifethrift/video/7268567551007903018,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,human interest,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,multiple: more than one of the above functions,YES,,,
maui,8/18/2023 18:31:00,84,0,nbcwashington,A Bethesda native who now lives in Maui spent eight hours in the ocean awaiting rescue from the wildfires. #DC #WashingtonDC #DistrictofColumbia #Maryland #Bethesda #Virginia #Maui #mauihawaii #hawaiiwildfire #mauiwildfire #Wildfires,88,3,"['dc', 'virginia', 'maui', 'maryland', 'mauihawaii', 'wildfires', 'bethesda', 'districtofcolumbia', 'hawaiiwildfire', 'mauiwildfire']","You all you get into the water, how long are you out in the water before you're able to get back to land? So from the time that I left my apartment building until the time that I was picked up and rescued by firefighters, it was about 8 hours. I would say 5 of those hours at least, I was fully submerged in the ocean. The rest of the time, we were exposed to the elements of the ocean. We would try to climb up onto the rocks on the side ones coming in. At some point in the night, we got so cold from just laying in the ocean. Ocean list that we ended up actually having to climb back up over the rock wall. And go and huddle near the fires. That we could actually want our bodies from hypothermia.",,https://tiktok.com/@nbcwashington/video/7268731594939108654,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Narration: Telling a story or sequence of events, in chronological order",Human/Human-Health Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/18/2023 19:36:00,49,0,ayosbanjo,You can support by sharing this with your loved ones and giving to the Hawaii Community Foundation #maui #wildfire #fyp,5,5,"['wildfire', 'maui', 'fyp']",in the heart of paradise a tragedy unfolds hundreds of lives lost and thousands still missing in the Maui wildfires but here's what they're not telling you and we now know that the sirens did work but in those critical hours were intentionally not used leadership chose not to turn on the (siren) and when firefighters were trying to fight the fires the fire hydrants were out of water and what's more disturbing just a day after the fires real estate agents start approaching residents for their lands profiting off their pain while people continue to vacation we got hit the pause button on tourism and while families lost almost everything the government only sends them $700 for their losses 5 billion dollars of buildings destroyed and y’all send $700? climate change is real and it is intensifying and while politicians continue their political posturing real lives are on the line if you want to support Maui and Lahaina you can give at the Hawaii Community Foundation they need all the help they can get,,https://tiktok.com/@ayosbanjo/video/7268748442443271467,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Broader Implications,,,multiple: more than one of the above functions,NO,,,
maui,8/20/2023 5:19:00,17,0,tonny.mcd,"Reporter: ""Can you tell us about your Hawaii trip, sir?"" Joe Biden: ""No"" #hawaii #Maui #mauifire #mauihawaii #presidentbiden #biden #usa #fup",0,0,"['usa', 'hawaii', 'fup', 'maui', 'mauihawaii', 'biden', 'mauifire', 'presidentbiden']",,,https://tiktok.com/@tonny.mcd/video/7269269851745684779,YES - Continue coding,YES - Continue coding,TOSS,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,closed captioning: closely follows audio narration's words,NO,,,
maui,8/18/2023 22:22:00,33,0,brandonkubik1,"#fire #news #abcnews #maui #crazy #sad #allbad something dont sit right with me over all this  August 18, 2023",16,6,"['crazy', 'sad', 'fire', 'allbad', 'news', 'maui', 'abcnews']",,,https://tiktok.com/@brandonkubik1/video/7268791279536917803,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
