,VIDEO DATA,,,,,,,,,,,ADMIN PANEL,,,NEWS CHARACTERISTICS,,RHETORIC and NARRATIVE,,VISUALS,,,SIDE NOTES,CREATORS,OPTIONAL,NOTES
EVENT,create_time,like_count,share_count,username,video_description,view_count,comment_count,hashtag_names,voice_to_text,spread_guess,URL,Is this video available to be viewed?,Related to event of interest?,Collective Agreement to Code,News Type,Primary contemporary news value,Rhetorical Mode,Content Focus,Visual Source Material,Visual Structure,Function of Text Overlays,Does the video contain any non-news digressions or asides?,Creator Persona,Does it appear that the creator is engaged in authentic sensemaking and/or citizen journalist activities?,Use this space to make notes
maui,8/9/2023 15:47:00,101,1,2_rainbow_hearts,"#greenscreenvideo Evacuations are underway across Hawaii’s Big Island and Maui as ""unprecedented"" wildfires have damaged structures, prompted rescues and even spurred some to jump into the ocean to escape danger, officials said. The Hawaii National Guard was activated to support first responders in the impacted communities in an emergency proclamation issued Tuesday by Lt. Gov. Sylvia Luke,On Maui's west side, 911 service is currently down, with resorts, visitors and commercial districts losing communication due to downed cell towers, according to an emergency official. Luke is acting as the governor while Gov. Josh Green is traveling out of the state.Winds associated with powerful Category 4 Hurricane Dora, which is passing hundreds of miles south of Hawaii, are helping to fan strong winds over the islands. #hawaiiwildfire #hawaii#hawaiianwildfire#fireinhawaii #wildfirevideos#mauiwildfire",377,24,"['hawaii', 'wildfirevideos', 'greenscreenvideo', 'fireinhawaii', 'hawaiiwildfire', 'mauiwildfire', 'hawaiianwildfire']",,,https://tiktok.com/@2_rainbow_hearts/video/7265349758921805098,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
maui,8/9/2023 20:01:00,5,0,gotkaried_away,Use link in bio to go to my shop! #maui #mauiwildfire #helpmaui #mauihawaii #lahainahawaii #mauicounty #Lahaina #americanredcross,61,0,"['maui', 'mauihawaii', 'lahaina', 'americanredcross', 'lahainahawaii', 'helpmaui', 'mauicounty', 'mauiwildfire']",,,https://tiktok.com/@gotkaried_away/video/7265415020060888366,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,usefulness,N/A or Other,Response,,,descriptive text: sets more detailed context; as long as a paragraph,YES,,NO,
maui,8/9/2023 23:20:00,46,0,twinllamamamadrama,#Wildfire #maui #lahaina,71,8,"['wildfire', 'maui', 'lahaina']",,,https://tiktok.com/@twinllamamamadrama/video/7265466394702040362,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,N/A or Other,Physical Impact,,,N/A - no text overlay,NO,,,
maui,8/9/2023 23:33:00,892,28,kellyhagoodclever,Lahaina destroyed by fire #Hawaii #lahainamaui #brushfire #fyp #mauifire #maui #fyp #maui #fire #lahaina #lahainahawaii #mauihawaii #mauifirerescue #helplahaina #foryoupage,9590,114,"['fire', 'hawaii', 'maui', 'fyp', 'mauihawaii', 'brushfire', 'lahaina', 'lahainamaui', 'foryoupage', 'lahainahawaii', 'mauifire', 'mauifirerescue', 'helplahaina']",,,https://tiktok.com/@kellyhagoodclever/video/7265469711071120686,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/11/2023 7:25:00,20,0,luis.kiss,A few days before the #maui #fire i went into a #submarine  #sub #hawaii #lahaina,35,0,"['fire', 'hawaii', 'sub', 'submarine', 'maui', 'lahaina']",,,https://tiktok.com/@luis.kiss/video/7265962366666411306,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
maui,8/10/2023 3:05:00,12,0,kiesha_bosschick,#lahaina #lahainafires #lahainafire #mauifire #mauifires #googlemaps #explore #fyp #trending  #climatecrisis #Maui  #Hawaiifire #fypage #viral #mauihawaii #pray #prayformaui #lahaina #mauifire2023 #fire #evacuation #globalwarming #globalwarmingawareness #prayersneeded,112,2,"['fire', 'pray', 'trending', 'viral', 'explore', 'maui', 'prayersneeded', 'fyp', 'globalwarming', 'mauihawaii', 'lahaina', 'evacuation', 'googlemaps', 'globalwarmingawareness', 'prayformaui', 'fypage', 'hawaiifire', 'climatecrisis', 'mauifire', 'mauifires', 'lahainafire', 'mauifire2023', 'lahainafires']","A state of emergency in effect this morning as wind fueled wildfires are burning dangerously close to homes. Officials say strong winds from Hurricane Dora are fueling these fires. It'll burn multiple structures in Maui. Also on the Big Island, evacuations are ongoing right now, and the Coast Guard says a dozen people were rescued after they jumped into the ocean to escape the flames. Is this unprecedented? In the history of Hawaii, it is unprecedented. Um, when we deal with Hurricane and disasters, um, following Hurricane, we're usually dealing with heavy rain, we're dealing with flooding. The fact that we have wildfire in multiple areas as a result of indirectly from a Hurricane is unprecedented. Since the last time I spoke to CNN, it has turned very serious and very dire. We're done? Yeah, we're done. Be careful right here. There's debris. Yeah. No, no. That's the house you burned on before. And",,https://tiktok.com/@kiesha_bosschick/video/7265524415725620522,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,multiple: more than one of the above functions,NO,,,
maui,8/10/2023 14:23:00,38,0,shirleyfabrication,All our prayers going out to everyone on Maui affected by the tragic Wildfires 🔥 especially in Lahaina 😢🙏🏼🙏🏼🙏🏼  #lahaina #maui #wildfire #fires #fire #firefighter #hawaii #surf #ocean   #bbq #stickburner #handmade #smoker #meat #love #welding #veteran #America #ranch #farm #brisket #smoker #pitmaster #chef #fishing #bass #rolltide #cigar ##texasbbq #letsgo #bourbon #beer #fypシ #grilling #burgers #hotdogs #cookout #summer #eat #independenceday #gopro #tictok #american #military #navy #army #marines #us #vibes #stoked #surf #boat #sushi #beach #chicken #wholehog #obx #capecod #hamptons #vabeach #florida #texas #merica #freedom #family #gsp #animal #pet #letsgo #weather #thunderstorm  #ribs #pulledpork #fishfry #brisket #beefribs #seafood #bluecrabs #tuna #yellowfintuna #pennreels #penn #bostonwhaler #foodie #gradywhite #shirleyfabrication #worththewait #gopro #beach #camping #Sweettea #hot #summer #steak #beefribs #cook #bsckyardbbq #bbqtiktok #smile #prayformaui #aloha #808 #island #fish #boat #water #rescue #sad,4,3,"['florida', 'summer', 'love', 'family', 'water', 'beach', 'ocean', 'sad', 'animal', 'smile', 'ranch', 'penn', 'fire', 'hot', 'freedom', 'military', 'boat', 'fish', 'fishing', 'smoker', 'welding', 'cook', 'pet', 'vabeach', 'america', 'vibes', 'weather', 'hawaii', 'bass', 'bourbon', 'us', 'chicken', 'letsgo', 'surf', 'eat', 'camping', 'handmade', 'texas', 'firefighter', 'bbq', 'island', 'meat', 'beer', 'army', 'navy', 'american', 'cookout', 'thunderstorm', 'chef', 'marines', 'sushi', 'gopro', 'rolltide', 'ribs', 'burgers', 'obx', 'aloha', 'farm', 'seafood', 'merica', 'wildfire', 'hotdogs', 'independenceday', 'hamptons', 'maui', 'gsp', 'capecod', 'tuna', 'cigar', 'sweettea', 'rescue', '808', 'tictok', 'fires', 'steak', 'foodie', 'veteran', 'stoked', 'lahaina', 'grilling', 'WorthTheWait', 'brisket', 'pulledpork', 'fishfry', 'bostonwhaler', 'pitmaster', 'bluecrabs', 'wholehog', 'gradywhite', 'beefribs', 'prayformaui', 'texasbbq', 'pennreels', 'yellowfintuna', 'fypシ', 'stickburner', 'bbqtiktok', 'shirleyfabrication', 'bsckyardbbq']",,,https://tiktok.com/@shirleyfabrication/video/7265699085431115054,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,N/A - no text overlay,NO,,,
maui,8/10/2023 14:52:00,82,0,ladyd_1989,My heart and prayers go out to Maui 🙏🏼 at least 36 deaths 🥺 If we had stayed 1 more day we'd probably still be there 😬 #wildfire #maui #hawaii #island #fire #prayer #prayformaui #🙏🏼,57,12,"['fire', 'prayer', 'hawaii', 'island', 'wildfire', 'maui', 'prayformaui', '🙏🏼']",,,https://tiktok.com/@ladyd_1989/video/7265706547798363435,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/10/2023 15:19:00,127,0,cool_mau,#maui #lahaina #mauistrong #fire #mauifire #lahainahawaii #sugarcane #hawaii,74,6,"['fire', 'hawaii', 'maui', 'lahaina', 'sugarcane', 'lahainahawaii', 'mauifire', 'mauistrong']",,,https://tiktok.com/@cool_mau/video/7265713501627338027,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
maui,8/10/2023 17:53:00,134,3,thejoshintosh,8/8/23-present hurricane dora created horrible winds devastating maui and the historic town of lahaina with fire #lahaina #maui #hawaii #sad #fire #lahainahawaii #westmaui #wildfire #hawaiitiktok #brushfire #fypシ #viral #xyzbca reposting until tiktok stops muting my video,52,3,"['sad', 'fire', 'hawaii', 'viral', 'wildfire', 'maui', 'brushfire', 'lahaina', 'westmaui', 'lahainahawaii', 'hawaiitiktok', 'fypシ', 'xyzbca']",,,https://tiktok.com/@thejoshintosh/video/7265753152496930090,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,N/A or Other,Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
